cp-train: gens=120 pop=64 elite=8 games=64 seed=1 cap=200 arch=[57, 24, 16, 1] (1809 params) out=checkpoints/phase1
gen  43/120  best=+0.6717 mean=+0.2860 med=+0.2833 std=0.1334 tf=0.232 nov=0.000 sigma=0.1024 wT=0.242 gLen=154.0 bankrupt=0.06 div=7.288 215.4 g/s
gen  44/120  best=+0.5303 mean=+0.2715 med=+0.2767 std=0.1091 tf=0.225 nov=0.000 sigma=0.1006 wT=0.233 gLen=160.6 bankrupt=0.04 div=8.538 224.4 g/s
gen  45/120  best=+0.7272 mean=+0.2669 med=+0.2546 std=0.1349 tf=0.264 nov=0.000 sigma=0.0987 wT=0.225 gLen=153.5 bankrupt=0.08 div=9.489 217.0 g/s
gen  46/120  best=+0.6317 mean=+0.2969 med=+0.2858 std=0.1383 tf=0.216 nov=0.000 sigma=0.0969 wT=0.217 gLen=148.7 bankrupt=0.07 div=9.736 205.4 g/s
gen  47/120  best=+0.6971 mean=+0.3222 med=+0.3166 std=0.1336 tf=0.276 nov=0.000 sigma=0.0951 wT=0.208 gLen=146.3 bankrupt=0.07 div=9.185 217.5 g/s
gen  48/120  best=+0.6380 mean=+0.3053 med=+0.3198 std=0.1296 tf=0.228 nov=0.000 sigma=0.0933 wT=0.200 gLen=143.5 bankrupt=0.08 div=8.041 219.7 g/s
gen  49/120  best=+0.6224 mean=+0.3297 med=+0.3491 std=0.1369 tf=0.160 nov=0.000 sigma=0.0915 wT=0.192 gLen=129.2 bankrupt=0.11 div=7.195 216.5 g/s
gen  50/120  best=+0.5821 mean=+0.3128 med=+0.3289 std=0.1165 tf=0.170 nov=0.000 sigma=0.0897 wT=0.183 gLen=149.4 bankrupt=0.06 div=8.037 212.7 g/s
gen  51/120  best=+0.5480 mean=+0.3208 med=+0.3331 std=0.1175 tf=0.133 nov=0.000 sigma=0.0879 wT=0.175 gLen=158.7 bankrupt=0.05 div=8.682 246.7 g/s
gen  52/120  best=+0.5554 mean=+0.2954 med=+0.2953 std=0.1222 tf=0.136 nov=0.000 sigma=0.0861 wT=0.167 gLen=155.1 bankrupt=0.05 div=8.946 239.4 g/s
gen  53/120  best=+0.6576 mean=+0.3044 med=+0.3275 std=0.1422 tf=0.216 nov=0.000 sigma=0.0843 wT=0.158 gLen=151.6 bankrupt=0.07 div=9.328 222.9 g/s
gen  54/120  best=+0.5767 mean=+0.3047 med=+0.3133 std=0.1181 tf=0.167 nov=0.000 sigma=0.0825 wT=0.150 gLen=154.7 bankrupt=0.04 div=8.556 230.8 g/s
gen  55/120  best=+0.5797 mean=+0.3021 med=+0.3007 std=0.1192 tf=0.223 nov=0.000 sigma=0.0807 wT=0.142 gLen=158.0 bankrupt=0.05 div=7.248 235.6 g/s
